id;name;category
1;illnesstype1;illnesses
2;illnesstype2;illnesses
3;illnesstype3;illnesses
4;illnesstype4;illnesses
5;illnesstype5;illnesses
6;illnesstype6;illnesses
7;illnesstype7;illnesses
8;illnesstype8;illnesses
9;illnesstype9;illnesses
10;illnesstype10;illnesses
11;illnesstype11;illnesses
12;illnesstype12;illnesses
13;illnesstype13;illnesses
14;illnesstype14;illnesses
15;illnesstype15;illnesses
16;illnesstype16;illnesses
17;illnesstype17;illnesses
18;illnesstype18;illnesses
19;paintype1;pains
20;paintype2;pains
21;paintype3;pains
22;paintype4;pains
23;paintype5;pains
24;paintype6;pains
25;paintype7;pains
26;paintype8;pains